877596,877597,1,1131674844,2005.11.10,cn994,Nov,10,18:07:24,cn994/cn994,Server Administrator: Instrumentation Service EventID: 1404 Memory device status is critical Memory device location: DIMM1_B Possible memory module event cause:Single bit error logging disabled,61037249,Server Administrator: Instrumentation Service EventID: <*> Memory device status is critical Memory device location: <*> Possible memory module event cause:Single bit error logging disabled,ECC
1079108,1079109,1,1131685714,2005.11.10,bn257,Nov,10,21:08:34,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1079109,1079110,1,1131685714,2005.11.10,bn257,Nov,10,21:08:34,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1079129,1079130,1,1131685715,2005.11.10,bn257,Nov,10,21:08:35,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1079130,1079131,1,1131685715,2005.11.10,bn257,Nov,10,21:08:35,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1079153,1079154,1,1131685716,2005.11.10,bn257,Nov,10,21:08:36,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1079154,1079155,1,1131685716,2005.11.10,bn257,Nov,10,21:08:36,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1079676,1079677,1,1131685732,2005.11.10,bn257,Nov,10,21:08:52,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1079753,1079754,1,1131685733,2005.11.10,bn257,Nov,10,21:08:53,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1079754,1079755,1,1131685733,2005.11.10,bn257,Nov,10,21:08:53,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1079755,1079756,1,1131685733,2005.11.10,bn257,Nov,10,21:08:53,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1079779,1079780,1,1131685734,2005.11.10,bn257,Nov,10,21:08:54,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1079780,1079781,1,1131685734,2005.11.10,bn257,Nov,10,21:08:54,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1080864,1080865,1,1131685748,2005.11.10,bn257,Nov,10,21:09:08,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1080986,1080987,1,1131685749,2005.11.10,bn257,Nov,10,21:09:09,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1080987,1080988,1,1131685749,2005.11.10,bn257,Nov,10,21:09:09,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1081192,1081193,1,1131685750,2005.11.10,bn257,Nov,10,21:09:10,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1081193,1081194,1,1131685750,2005.11.10,bn257,Nov,10,21:09:10,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1081318,1081319,1,1131685751,2005.11.10,bn257,Nov,10,21:09:11,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1083213,1083214,1,1131685766,2005.11.10,bn257,Nov,10,21:09:26,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1083350,1083351,1,1131685767,2005.11.10,bn257,Nov,10,21:09:27,bn257/bn257,kernel: Losing some ticks... checking if CPU frequency changed.,20a06070,kernel: Losing some ticks... checking if CPU frequency changed.,CPU
1083354,1083355,1,1131685767,2005.11.10,bn257,Nov,10,21:09:27,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1083355,1083356,1,1131685767,2005.11.10,bn257,Nov,10,21:09:27,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1083356,1083357,1,1131685767,2005.11.10,bn257,Nov,10,21:09:27,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1086333,1086334,1,1131685799,2005.11.10,bn257,Nov,10,21:09:59,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1087254,1087255,1,1131685816,2005.11.10,bn257,Nov,10,21:10:16,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1087255,1087256,1,1131685816,2005.11.10,bn257,Nov,10,21:10:16,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1087256,1087257,1,1131685816,2005.11.10,bn257,Nov,10,21:10:16,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1087392,1087393,1,1131685817,2005.11.10,bn257,Nov,10,21:10:17,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1087393,1087394,1,1131685817,2005.11.10,bn257,Nov,10,21:10:17,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1089294,1089295,1,1131685849,2005.11.10,bn257,Nov,10,21:10:49,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1090691,1090692,1,1131685882,2005.11.10,bn257,Nov,10,21:11:22,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1090692,1090693,1,1131685882,2005.11.10,bn257,Nov,10,21:11:22,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1092979,1092980,1,1131685897,2005.11.10,bn257,Nov,10,21:11:37,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1093116,1093117,1,1131685898,2005.11.10,bn257,Nov,10,21:11:38,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
1093117,1093118,1,1131685898,2005.11.10,bn257,Nov,10,21:11:38,bn257/bn257,"kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))",b519b344,"kernel: <*> <*> failed, return code = -<*> (Fatal error (Local Catastrophic Error))",VAPI
